source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Gizmodo.jp'}",武者良太,高速リーダー機能付きメモリーカードケース。もう｢あれ足りない｣が起こらない - GIZMODO JAPAN,スマホスタンドにもなるのよ、コレ。デジカメなどのデータを記録するSDカードとかmicroSDカードみたいな｢ちっさいモノ｣ってなくしがちじゃないですか。そしてSDカードとかmicroSDカードに記録したデータをPCで確認したり、転送するときに必要な｢SDカードデータリーダー｣って忘れがちじゃないですか。…それじゃあ一緒にしちゃえっていうのがこいつ。 コレさえ持っていけばミスがなくせる。そんなドヤ,https://www.gizmodo.jp/2024/03/sanko-memory-reader-case.html,https://media.loom-app.com/gizmodo/dist/images/2024/03/11/muunbxhbk-pr4.jpg?w=1280&h=630&f=jpg,2024-03-12T01:00:00Z,"SDmicroSD
SDmicroSDPCSD
Image: 
SDx3microSDx15nanoSIMx2SIMUSB12SD/microSDSDmicroSD
USB Type-CUSB
Image: 
/USBUSB 3.05Gbps4K
Image: 
in15,280
Source:"
"{'id': None, 'name': 'Itmedia.co.jp'}",ITmedia Mobile,Samsungが普及価格帯モデル「Galaxy A55／A35 5G」発表 高度セキュリティシステム「Knox Vault」搭載 - ITmedia Mobile - ITmedia Mobile,,https://www.itmedia.co.jp/mobile/articles/2403/12/news097.html,,2024-03-12T00:27:00Z,
"{'id': None, 'name': 'Toyokeizai.net'}",桃田 健史,自動運転が｢大きな曲がり角｣に直面している訳 - 東洋経済オンライン,トーンダウンした感のあった自動運転に関する報道が、2023年後半から再び増えてきた印象がある。自動運転に長く関わってきた産学官の関係者の中では、自動運転の実用化に向けて「潮目が変わった」と指摘する声もあ…,https://toyokeizai.net/articles/-/739627,https://tk.ismcdn.jp/mwimgs/f/0/1200w/img_f03eea7160697cb40ded7bc6a4071060402262.jpg,2024-03-12T00:01:21Z,Copyright©Toyo Keizai Inc.All Rights Reserved.
"{'id': None, 'name': 'Gigazine.net'}",@GIGAZINE,AIと顔認証を組み込んだ「人間狩りをするAIドローン」がわずか数時間で完成 - GIGAZINE（ギガジン）,起業家でエンジニアのルイス・ウェナス氏は、小型ドローンに顔認証システムと人工知能(AI)を組み込むことで、ゲーム感覚で人間を追いかけるドローンを作成したとSNSに投稿しました。ウェナス氏は、わずか数時間で作り上げたそのドローンが武器さえ搭載すれば簡単に自動で人間を殺害するドローンに変貌することを指摘し、AIドローンの兵器利用について警告しています。,https://gigazine.net/news/20240312-drone-hunt-people/,https://i.gzn.jp/img/2024/03/12/drone-hunt-people/00.jpg,2024-03-11T23:00:00Z,
"{'id': None, 'name': 'Itmedia.co.jp'}",ITmedia NEWS,写真を撮って電柱を“制圧”、報酬もらえる 東電が参画した位置情報ゲーム「ピクトレ」の狙い - ITmedia NEWS,,https://www.itmedia.co.jp/news/articles/2403/12/news062.html,,2024-03-11T22:14:00Z,
"{'id': None, 'name': 'Itmedia.co.jp'}",,Airbnb、宿の屋内監視カメラ設置を全面禁止に 4月30日から - ITmedia NEWS,・ｽ・ｽ・ｽ・ｽ・ｽ・ｽ・ｽ・ｽAirbnb・ｽﾍ、・ｽv・ｽ・ｽ・ｽC・ｽo・ｽV・ｽ[・ｽﾛ鯉ｿｽﾎ搾ｿｽﾌ茨ｿｽﾂとゑｿｽ・ｽﾄ、・ｽh・ｽ・ｽ・ｽ{・ｽﾝの会ｿｽ・ｽ・ｽ・ｽﾌ監趣ｿｽ・ｽJ・ｽ・ｽ・ｽ・ｽ・ｽﾝ置・ｽ・ｽS・ｽﾊ的・ｽﾉ禁止・ｽ・ｽ・ｽ・ｽB・ｽ・ｽ・ｽ・ｽﾜでは具ｿｽ・ｽp・ｽX・ｽy・ｽ[・ｽX・ｽﾉ鯉ｿｽ・ｽ・ｽA・ｽJ・ｽ・ｽ・ｽ・ｽ・ｽ・ｽﾎ認・ｽﾟゑｿｽ・ｽﾄゑｿｽ・ｽ・ｽ・ｽB,https://www.itmedia.co.jp/news/articles/2403/12/news090.html,https://image.itmedia.co.jp/news/articles/2403/12/cover_news090.jpg,2024-03-11T22:08:00Z,"@Airbnb311inAvCoV[XeBOih{JS\B430{B
@]rO[pXy[XA\OJABA430AOJJB
@QXgAzXgAvCoV[B
@AhAxJOCoV[FBj^[ixv@BjpXy[XB
@zXg430XeBOJPKvBXgJAAirbnbAXeBOzXgJEgB
Copyright © ITmedia, Inc. All Rights Reserved.
R… [+39 chars]"
"{'id': None, 'name': 'Bloomberg.co.jp'}",,オラクル株が急伸、好調な売上高発表－クラウド事業の伸び安定化 - ブルームバーグ,米オラクルの株価が11日の米株式市場時間外取引で一時11％急伸。同社が発表した決算では、注目されるクラウドコンピューティング事業の成長が安定し始めていることが示唆され、競争の激しい市場で市場シェア拡大を目指す取り組みの前進が鮮明になった。,https://www.bloomberg.co.jp/news/articles/2024-03-11/SA7ADIT0G1KW00,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iLPszamn7b.I/v0/1200x800.jpg,2024-03-11T21:06:00Z,"米
オラクルの株価が11日の米株式市場時間外取引で一時11％急伸。同社が発表した決算では、注目されるクラウドコンピューティング事業の成長が安定し始めていることが示唆され、競争の激しい市場で市場シェア拡大を目指す取り組みの前進が鮮明になった。
　　発表資料によると、2023年12月－24年２月（第３四半期）のクラウド収入は25％増の51億ドル（約7500億円）となり、ウォール街の予想50億60… [+908 chars]"
"{'id': None, 'name': 'Bloomberg.co.jp'}",,【今朝の５本】仕事を始める前に読んでおきたい厳選ニュース - ブルームバーグ,イーロン・マスク氏は11日、人工知能（ＡＩ）会社xAIが同社のチャットボット「Grok（グロック）」を今週オープンソース化すると明らかにしました。マスク氏は「ChatGPT（チャットＧＰＴ）」を手掛けるオープンＡＩの共同設立者の一人ですが、その後に袂（たもと）を分かち、同社に対抗してxAIを設立しました。最近ではオープンＡＩを提訴。訴状では同社について、「マイクロソフトのクローズドソースの事実上の子会社」と記しており、今回のGrokオープンソース化でもオープンＡＩを強く意識していることがうかがえます。以下は一日を…,https://www.bloomberg.co.jp/news/articles/2024-03-11/SA6YYXT0AFB400,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iyUZoGkyrWwc/v0/1200x800.jpg,2024-03-11T21:01:00Z,"イーロン・マスク氏は11日、人工知能（ＡＩ）会社xAIが同社のチャットボット「Grok（グロック）」を今週オープンソース化すると明らかにしました。マスク氏は「ChatGPT（チャットＧＰＴ）」を手掛けるオープンＡＩの共同設立者の一人ですが、その後に袂（たもと）を分かち、同社に対抗してxAIを
設立しました。最近ではオープンＡＩを
提訴。訴状では同社について、「マイクロソフトのクローズドソース… [+1416 chars]"
"{'id': None, 'name': 'Gigazine.net'}",@GIGAZINE,ブラウザに音声ファイルを生成させることで個人を識別して追跡する「オーディオフィンガープリンティング」の仕組み - GIGAZINE（ギガジン）,ウェブサイトを閲覧するユーザーの「IPアドレス」「OSの種類」「ブラウザの種類」といった固有情報は「フィンガープリント」と呼ばれており、ウェブサイトの管理者はフィンガープリントを収集することで個人を識別することができます。フィンガープリントの中でも「ユーザーのブラウザに音声ファイルを生成させて、わずかな差から個人を識別する」という「オーディオフィンガープリンティング」の手法や回避方法について、フィンガープリント収集サービスを提供する「Fingerprint」が解説しています。,https://gigazine.net/news/20240312-audio-fingerprinting/,https://i.gzn.jp/img/2024/03/12/audio-fingerprinting/00.jpg,2024-03-11T21:00:00Z,
"{'id': None, 'name': 'Nikkei.com'}",日本経済新聞社,エヌビディア株はバブルなのか（大川智宏） - 日本経済新聞,日経平均株価が史上最高値を更新し、まさにお祭りムードが漂う日本株市場。それと同時に一気に日本国内での知名度を上げた存在といえば、なんといっても米半導体大手、エヌビディアだろう。日本の株価指数の快挙であるにもかかわらず、むしろ米国株の銘柄の名が各所にとどろいたことは複雑な感覚ではあるが、株式投資に疎い層も最高値更新のニュースと合わせて、その名前を少しは認知したことと思われる。日経平均に強い影響,https://www.nikkei.com/article/DGXZQOUB274B60X20C24A2000000/,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO4551909007032024000000-1.jpg?ixlib=js-3.8.0&auto=format%2Ccompress&fit=crop&bg=FFFFFF&w=1200&h=630&fp-x=0.73&fp-y=0.65&fp-z=1&crop=focalpoint&s=b016c7625c616476256c1d66a3db80ad,2024-03-11T19:00:00Z,
